                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.041,                 2.8178,                0.89968,                0.04519,                      1,                0.07822,                0.04784,                 1.0652,                 3.6916,                0.91309,             0.00032232,             0.00032232,             0.00032232
                     36,                 1.0186,                   3.13,                0.90283,                0.04519,                      1,                0.07822,                0.04784,                 1.0652,                 3.6916,                0.91309,             0.00032685,             0.00032685,             0.00032685
                     37,                0.94715,                 1.5644,                0.94336,                   0.02,                    0.2,                0.01739,                0.01217,                 1.0557,                 3.9225,                0.95868,             0.00033109,             0.00033109,             0.00033109
                     38,                 1.2001,                 1.7691,                0.84847,                   0.02,                    0.2,                0.01739,                0.01217,                 1.0557,                 3.9225,                0.95868,             0.00033506,             0.00033506,             0.00033506
                     39,                 1.2079,                 2.2944,                0.84551,                0.01136,                    0.1,                0.00796,                0.00558,                 1.0871,                 3.9943,                0.98363,             0.00033874,             0.00033874,             0.00033874
                     40,                 1.5454,                  2.605,                0.93707,                0.01136,                    0.1,                0.00796,                0.00558,                 1.0871,                 3.9943,                0.98363,             0.00034213,             0.00034213,             0.00034213
                     41,                 1.0993,                 2.4294,                0.91445,                 0.0125,                    0.1,                0.00881,                0.00617,                 1.0025,                 4.0344,                0.97794,             0.00034525,             0.00034525,             0.00034525
                     42,                0.92203,                 2.1345,                0.79024,                 0.0125,                    0.1,                0.00881,                0.00617,                 1.0025,                 4.0344,                0.97794,             0.00034808,             0.00034808,             0.00034808
                     43,                 1.2236,                  1.789,                0.87186,                 0.0119,                    0.1,                0.00818,                0.00573,                0.97383,                 3.9815,                0.95883,             0.00035063,             0.00035063,             0.00035063
                     44,                 1.6563,                 2.3097,                0.91836,                 0.0119,                    0.1,                0.00818,                0.00573,                0.97383,                 3.9815,                0.95883,             0.00035289,             0.00035289,             0.00035289
                     45,                 1.2053,                 2.0312,                 1.0397,                0.03106,                    0.7,                0.03203,                0.01127,                 1.0124,                 3.9659,                0.95868,             0.00035487,             0.00035487,             0.00035487
