                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7208,                 4.5086,                 1.2736,                0.00269,                    0.5,                0.00508,                0.00254,                 2.1431,                  4.046,                 1.1694,                      0,                      0,                      0
                      2,                 1.4203,                 4.3645,                 1.1376,                0.01281,                    0.6,                0.01117,                0.00438,                 2.0739,                 4.0159,                 1.1404,             1.4149e-05,             1.4149e-05,             1.4149e-05
                      3,                  1.825,                 4.5714,                 1.2668,                0.01292,                    0.6,                0.01125,                 0.0044,                 2.0289,                 4.0181,                 1.1384,             2.8014e-05,             2.8014e-05,             2.8014e-05
                      4,                  2.122,                  4.981,                 1.2438,                0.01225,                    0.6,                0.01085,                0.00426,                 1.9279,                 4.0128,                 1.1088,             4.1597e-05,             4.1597e-05,             4.1597e-05
                      5,                 1.4337,                 4.4193,                0.96495,                 0.0121,                    0.6,                0.01049,                0.00464,                 1.8086,                 4.0088,                 1.0782,             5.4896e-05,             5.4896e-05,             5.4896e-05
                      6,                 1.4742,                 4.2964,                 1.0799,                0.02993,                    0.8,                0.02523,                0.01015,                 1.7139,                  4.006,                 1.0557,             6.7913e-05,             6.7913e-05,             6.7913e-05
                      7,                 1.1773,                 4.6081,                 1.0624,                0.02831,                    0.8,                0.02381,                0.00992,                 1.6385,                 4.0072,                 1.0383,             8.0647e-05,             8.0647e-05,             8.0647e-05
                      8,                 1.5122,                 4.1308,                 1.0155,                0.03683,                    0.9,                0.03591,                0.01725,                 1.5566,                 3.9952,                 1.0066,             9.3098e-05,             9.3098e-05,             9.3098e-05
                      9,                 1.2026,                 3.8501,                0.98865,                0.02985,                    0.4,                0.03055,                0.01687,                 1.4309,                 3.9833,                0.97491,             0.00010527,             0.00010527,             0.00010527
                     10,                 1.2841,                 3.9069,                 0.9295,                0.03205,                    0.5,                0.03336,                0.02023,                 1.3096,                 3.9595,                0.93872,             0.00011715,             0.00011715,             0.00011715
                     11,                 1.2383,                 3.7282,                 1.0682,                 0.0374,                      1,                0.04066,                 0.0225,                 1.1684,                 3.9392,                0.91449,             0.00012875,             0.00012875,             0.00012875
                     12,                 1.5807,                 3.9991,                 1.0648,                0.03049,                    0.5,                0.03317,                 0.0226,                 1.0521,                 3.9184,                0.88447,             0.00014007,             0.00014007,             0.00014007
                     13,                 1.1458,                 3.4295,                0.91885,                0.03321,                      1,                0.03908,                0.02847,                 1.0477,                 3.9038,                0.87523,             0.00015111,             0.00015111,             0.00015111
                     14,                 1.6374,                 3.4039,                 1.0472,                0.03221,                      1,                0.04184,                0.02857,                 1.0666,                 3.9021,                0.88255,             0.00016186,             0.00016186,             0.00016186
                     15,                 1.1604,                 3.3248,                0.92269,                0.03119,                      1,                0.04482,                0.02875,                 1.0825,                 3.8717,                0.87922,             0.00017233,             0.00017233,             0.00017233
                     16,                 1.2499,                 3.1012,                0.87319,                 0.0291,                      1,                0.04455,                0.03094,                 1.0958,                 3.8192,                0.87787,             0.00018252,             0.00018252,             0.00018252
                     17,                   1.08,                 2.7403,                0.84665,                0.02834,                      1,                0.04581,                0.03405,                 1.0566,                 3.7659,                0.86812,             0.00019242,             0.00019242,             0.00019242
                     18,                 1.0879,                 2.6308,                0.87587,                0.02834,                      1,                0.04581,                0.03405,                 1.0566,                 3.7659,                0.86812,             0.00020204,             0.00020204,             0.00020204
                     19,                 1.2403,                 2.7597,                 0.8399,                0.02834,                      1,                0.04802,                0.03411,                 1.0206,                 3.7016,                0.86094,             0.00021138,             0.00021138,             0.00021138
                     20,                 1.9538,                 2.8453,                0.90328,                0.02834,                      1,                0.04802,                0.03411,                 1.0206,                 3.7016,                0.86094,             0.00022044,             0.00022044,             0.00022044
                     21,                 1.6127,                 2.5702,                0.93529,                0.02898,                      1,                0.05045,                0.03411,                 1.0234,                 3.6362,                0.86379,             0.00022921,             0.00022921,             0.00022921
                     22,                 1.1029,                 3.1823,                0.95901,                0.02898,                      1,                0.05045,                0.03411,                 1.0234,                 3.6362,                0.86379,              0.0002377,              0.0002377,              0.0002377
                     23,                 2.2163,                 2.5309,                 1.0974,                0.02849,                      1,                0.04676,                0.03057,                 1.0339,                  3.551,                0.86726,             0.00024591,             0.00024591,             0.00024591
                     24,                 1.2685,                 2.3493,                0.90494,                0.02849,                      1,                0.04676,                0.03057,                 1.0339,                  3.551,                0.86726,             0.00025383,             0.00025383,             0.00025383
                     25,                 1.1981,                 3.7792,                0.88279,                0.02857,                      1,                0.13581,                0.08468,                 1.0603,                 3.4987,                0.87242,             0.00026147,             0.00026147,             0.00026147
                     26,                 1.1349,                 1.7943,                0.82205,                0.02857,                      1,                0.13581,                0.08468,                 1.0603,                 3.4987,                0.87242,             0.00026883,             0.00026883,             0.00026883
                     27,                 1.2243,                 2.3802,                0.92728,                0.02836,                      1,                0.19478,                0.13603,                  1.058,                 3.4403,                0.87325,             0.00027591,             0.00027591,             0.00027591
                     28,                 1.3898,                 2.6138,                0.88314,                0.02836,                      1,                0.19478,                0.13603,                  1.058,                 3.4403,                0.87325,              0.0002827,              0.0002827,              0.0002827
                     29,                  1.153,                 2.7651,                0.84323,                0.02776,                      1,                0.29555,                0.20255,                 1.0674,                 3.4503,                0.88744,             0.00028921,             0.00028921,             0.00028921
                     30,                 1.1142,                 2.0195,                0.88539,                0.02776,                      1,                0.29555,                0.20255,                 1.0674,                 3.4503,                0.88744,             0.00029543,             0.00029543,             0.00029543
                     31,                 1.4565,                 2.7307,                  1.039,                0.02671,                      1,                0.23092,                0.15202,                 1.0347,                 3.4805,                0.89496,             0.00030138,             0.00030138,             0.00030138
                     32,                 1.1499,                  2.605,                0.84161,                0.02671,                      1,                0.23092,                0.15202,                 1.0347,                 3.4805,                0.89496,             0.00030704,             0.00030704,             0.00030704
                     33,                 1.1152,                 2.0284,                0.88953,                0.02854,                      1,                0.23514,                0.13164,                0.95763,                 3.5257,                0.90632,             0.00031241,             0.00031241,             0.00031241
                     34,                 1.3143,                 2.1974,                0.90287,                0.02854,                      1,                0.23514,                0.13164,                0.95763,                 3.5257,                0.90632,             0.00031751,             0.00031751,             0.00031751
                     35,                 1.1591,                 2.3087,                0.91379,                0.03044,                      1,                0.08158,                0.04089,                 1.0493,                 3.5994,                0.92585,             0.00032232,             0.00032232,             0.00032232
                     36,                 1.1361,                  2.031,                0.87715,                0.03044,                      1,                0.08158,                0.04089,                 1.0493,                 3.5994,                0.92585,             0.00032685,             0.00032685,             0.00032685
                     37,                   1.35,                  1.872,                0.89031,                0.03339,                      1,                  0.078,                0.04151,                 1.0001,                 3.5823,                0.90817,             0.00033109,             0.00033109,             0.00033109
                     38,                 1.3022,                 1.9838,                0.87682,                0.03339,                      1,                  0.078,                0.04151,                 1.0001,                 3.5823,                0.90817,             0.00033506,             0.00033506,             0.00033506
