                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                 1.5039,                 2.3132,                0.86219,                 0.0378,                      1,                0.07622,                0.04602,                0.97526,                 3.5592,                0.89104,             0.00033874,             0.00033874,             0.00033874
                     40,                 1.0942,                 2.3019,                0.98998,                 0.0378,                      1,                0.07622,                0.04602,                0.97526,                 3.5592,                0.89104,             0.00034213,             0.00034213,             0.00034213
                     41,                0.95297,                  1.839,                0.86599,                0.04537,                      1,                0.07094,                0.04508,                0.92698,                 3.6462,                0.89635,             0.00034525,             0.00034525,             0.00034525
                     42,                 1.0958,                  2.029,                0.90358,                0.04537,                      1,                0.07094,                0.04508,                0.92698,                 3.6462,                0.89635,             0.00034808,             0.00034808,             0.00034808
                     43,                 1.2927,                 1.9725,                0.89088,                0.03704,                    0.4,                0.03845,                 0.0245,                0.90039,                 3.7297,                0.90774,             0.00035063,             0.00035063,             0.00035063
                     44,                 1.1406,                 1.8195,                0.82559,                0.03704,                    0.4,                0.03845,                 0.0245,                0.90039,                 3.7297,                0.90774,             0.00035289,             0.00035289,             0.00035289
                     45,                 1.1609,                 1.9197,                0.87456,                0.02632,                    0.2,                0.02322,                0.01625,                0.92711,                 3.8662,                0.93962,             0.00035487,             0.00035487,             0.00035487
                     46,                 1.0356,                 1.7187,                0.88966,                0.02632,                    0.2,                0.02322,                0.01625,                0.92711,                 3.8662,                0.93962,             0.00035657,             0.00035657,             0.00035657
                     47,                 1.2993,                 1.8839,                0.90296,                0.01471,                    0.1,                0.00957,                0.00739,                0.99973,                  4.036,                0.98649,             0.00035799,             0.00035799,             0.00035799
                     48,                 1.1245,                 2.0635,                0.88584,                0.01471,                    0.1,                0.00957,                0.00739,                0.99973,                  4.036,                0.98649,             0.00035912,             0.00035912,             0.00035912
                     49,                 1.0469,                 2.0972,                 0.9231,                0.01471,                    0.1,                0.00957,                0.00739,                 1.1251,                  4.128,                 1.0278,             0.00035997,             0.00035997,             0.00035997
                     50,                 1.0842,                 1.8089,                0.90883,                0.01471,                    0.1,                0.00957,                0.00739,                 1.1251,                  4.128,                 1.0278,             0.00036054,             0.00036054,             0.00036054
                     51,                 1.1542,                 1.9333,                0.82021,                0.01471,                    0.1,                0.00957,                0.00739,                 1.1214,                  4.083,                 1.0195,             0.00036082,             0.00036082,             0.00036082
                     52,                0.91579,                  1.888,                0.87087,                0.01471,                    0.1,                0.00957,                0.00739,                 1.1214,                  4.083,                 1.0195,             0.00036082,             0.00036082,             0.00036082
                     53,                0.89906,                 1.9194,                0.90305,                0.01471,                    0.1,                0.00957,                0.00739,                 1.1214,                  4.083,                 1.0195,             0.00036054,             0.00036054,             0.00036054
                     54,                 1.0458,                 1.8601,                0.85028,                0.02381,                    0.2,                0.01667,                0.01238,                 1.0715,                 3.8911,                0.97523,             0.00035998,             0.00035998,             0.00035998
                     55,                0.91425,                 1.8116,                 0.9061,                0.02381,                    0.2,                0.01667,                0.01238,                 1.0715,                 3.8911,                0.97523,             0.00035913,             0.00035913,             0.00035913
                     56,                 1.2004,                 2.0546,                0.77612,                0.02381,                    0.2,                0.01667,                0.01238,                 1.0715,                 3.8911,                0.97523,               0.000358,               0.000358,               0.000358
                     57,                0.86309,                 1.6717,                0.86905,                0.03571,                    0.4,                0.04253,                0.02769,                 1.0011,                 3.6353,                0.93759,             0.00035659,             0.00035659,             0.00035659
                     58,                 1.0011,                 1.8368,                0.89759,                0.03571,                    0.4,                0.04253,                0.02769,                 1.0011,                 3.6353,                0.93759,             0.00035489,             0.00035489,             0.00035489
                     59,                 1.0233,                  2.017,                 0.8718,                0.03571,                    0.4,                0.04253,                0.02769,                 1.0011,                 3.6353,                0.93759,             0.00035291,             0.00035291,             0.00035291
                     60,                0.95393,                 1.7829,                0.96665,                 0.0303,                    0.4,                0.03852,                0.02556,                0.98287,                 3.4867,                0.92473,             0.00035065,             0.00035065,             0.00035065
                     61,                0.87492,                 2.0422,                 0.8563,                 0.0303,                    0.4,                0.03852,                0.02556,                0.98287,                 3.4867,                0.92473,              0.0003481,              0.0003481,              0.0003481
                     62,                 0.9677,                 2.7515,                0.88342,                 0.0303,                    0.4,                0.03852,                0.02556,                0.98287,                 3.4867,                0.92473,             0.00034528,             0.00034528,             0.00034528
                     63,                 1.1673,                 1.6597,                0.91719,                0.03851,                      1,                0.19173,                0.14425,                0.98085,                 3.3026,                0.92596,             0.00034217,             0.00034217,             0.00034217
                     64,                 1.2628,                 1.7761,                0.85931,                0.03851,                      1,                0.19173,                0.14425,                0.98085,                 3.3026,                0.92596,             0.00033877,             0.00033877,             0.00033877
                     65,                 1.2116,                 1.7633,                0.89408,                0.03851,                      1,                0.19173,                0.14425,                0.98085,                 3.3026,                0.92596,             0.00033509,             0.00033509,             0.00033509
                     66,                0.98201,                 1.7349,                 0.9154,                0.03374,                      1,                0.41547,                0.32011,                0.90283,                 3.1535,                0.91156,             0.00033114,             0.00033114,             0.00033114
                     67,                 1.0393,                 1.9916,                 0.8103,                0.03374,                      1,                0.41547,                0.32011,                0.90283,                 3.1535,                0.91156,             0.00032689,             0.00032689,             0.00032689
                     68,                 1.3679,                 1.8251,                0.82561,                0.03374,                      1,                0.41547,                0.32011,                0.90283,                 3.1535,                0.91156,             0.00032237,             0.00032237,             0.00032237
                     69,                0.98175,                 1.6781,                0.89181,                0.03067,                      1,                0.41427,                0.33236,                0.80205,                 3.0005,                0.89275,             0.00031756,             0.00031756,             0.00031756
                     70,                 1.0541,                  1.715,                0.83003,                0.03067,                      1,                0.41427,                0.33236,                0.80205,                 3.0005,                0.89275,             0.00031247,             0.00031247,             0.00031247
                     71,                0.89398,                 1.7668,                0.89959,                0.03067,                      1,                0.41427,                0.33236,                0.80205,                 3.0005,                0.89275,             0.00030709,             0.00030709,             0.00030709
                     72,                 1.0217,                 1.7291,                0.85522,                0.02964,                      1,                 0.4333,                0.33636,                0.80394,                 2.8533,                 0.8797,             0.00030143,             0.00030143,             0.00030143
                     73,                0.93626,                 1.5709,                0.86482,                0.02964,                      1,                 0.4333,                0.33636,                0.80394,                 2.8533,                 0.8797,             0.00029549,             0.00029549,             0.00029549
                     74,                 0.7883,                 1.8859,                0.90486,                0.02964,                      1,                 0.4333,                0.33636,                0.80394,                 2.8533,                 0.8797,             0.00028927,             0.00028927,             0.00028927
                     75,                0.90498,                 1.6201,                0.81259,                0.03094,                      1,                0.58033,                0.46624,                0.83454,                 2.6104,                0.87871,             0.00028276,             0.00028276,             0.00028276
                     76,                0.94978,                 1.7009,                0.82707,                0.03094,                      1,                0.58033,                0.46624,                0.83454,                 2.6104,                0.87871,             0.00027598,             0.00027598,             0.00027598
                     77,                0.86751,                 1.4989,                0.87471,                0.03094,                      1,                0.58033,                0.46624,                0.83454,                 2.6104,                0.87871,              0.0002689,              0.0002689,              0.0002689
                     78,                0.95721,                 1.6104,                0.83701,                0.02922,                      1,                0.58042,                0.46428,                0.82456,                 2.3919,                0.88334,             0.00026155,             0.00026155,             0.00026155
                     79,                0.87127,                 1.5965,                0.89234,                0.02922,                      1,                0.58042,                0.46428,                0.82456,                 2.3919,                0.88334,             0.00025391,             0.00025391,             0.00025391
                     80,                 1.0116,                 1.4166,                0.84611,                0.02922,                      1,                0.58042,                0.46428,                0.82456,                 2.3919,                0.88334,             0.00024599,             0.00024599,             0.00024599
                     81,                0.90867,                 1.4114,                0.97034,                      1,                0.45601,                0.58042,                0.45252,                0.82329,                 2.1736,                0.88159,             0.00023779,             0.00023779,             0.00023779
                     82,                0.98765,                 1.2746,                0.91197,                      1,                0.45601,                0.58042,                0.45252,                0.82329,                 2.1736,                0.88159,              0.0002293,              0.0002293,              0.0002293
                     83,                0.94549,                 1.4624,                0.85397,                      1,                0.45601,                0.58042,                0.45252,                0.82329,                 2.1736,                0.88159,             0.00022053,             0.00022053,             0.00022053
                     84,                 1.0211,                 1.5301,                0.84146,                      1,                0.45129,                0.58042,                0.43098,                0.83854,                      2,                 0.8839,             0.00021148,             0.00021148,             0.00021148
                     85,                0.93205,                 1.7159,                0.89325,                      1,                0.45129,                0.58042,                0.43098,                0.83854,                      2,                 0.8839,             0.00020214,             0.00020214,             0.00020214
                     86,                 1.0066,                  1.614,                0.81227,                      1,                0.45129,                0.58042,                0.43098,                0.83854,                      2,                 0.8839,             0.00019252,             0.00019252,             0.00019252
                     87,                0.91088,                 1.5595,                 0.7976,                      1,                0.45129,                0.58042,                0.43098,                0.83854,                      2,                 0.8839,             0.00018262,             0.00018262,             0.00018262
                     88,                0.90744,                 1.6656,                0.84658,                      1,                0.47144,                0.58042,                0.44338,                0.82969,                 1.9013,                0.88421,             0.00017244,             0.00017244,             0.00017244
                     89,                 0.7794,                 1.6733,                0.90887,                      1,                0.47144,                0.58042,                0.44338,                0.82969,                 1.9013,                0.88421,             0.00016197,             0.00016197,             0.00016197
                     90,                  0.808,                  1.521,                0.82179,                      1,                0.47144,                0.58042,                0.44338,                0.82969,                 1.9013,                0.88421,             0.00015122,             0.00015122,             0.00015122
                     91,                0.81657,                 1.8826,                0.83866,                      1,                0.47144,                0.58042,                0.44338,                0.82969,                 1.9013,                0.88421,             0.00014018,             0.00014018,             0.00014018
                     92,                 1.0107,                 3.0141,                0.82563,                      1,                0.49566,                0.58042,                0.43097,                0.83557,                 1.7929,                0.88505,             0.00012887,             0.00012887,             0.00012887
                     93,                0.83444,                 1.7537,                0.86726,                      1,                0.49566,                0.58042,                0.43097,                0.83557,                 1.7929,                0.88505,             0.00011727,             0.00011727,             0.00011727
                     94,                 1.1279,                 2.6617,                0.94228,                      1,                0.49566,                0.58042,                0.43097,                0.83557,                 1.7929,                0.88505,             0.00010539,             0.00010539,             0.00010539
                     95,                  1.031,                 3.0329,                0.81089,                      1,                0.49566,                0.58042,                0.43097,                0.83557,                 1.7929,                0.88505,             9.3222e-05,             9.3222e-05,             9.3222e-05
                     96,                0.99136,                 2.2923,                0.92049,                0.94938,                    0.5,                0.58042,                0.43097,                0.83898,                 1.6364,                0.88629,             8.0774e-05,             8.0774e-05,             8.0774e-05
                     97,                 1.0119,                 1.9639,                0.81981,                0.94938,                    0.5,                0.58042,                0.43097,                0.83898,                 1.6364,                0.88629,             6.8043e-05,             6.8043e-05,             6.8043e-05
                     98,                0.99481,                 2.0713,                0.95986,                0.94938,                    0.5,                0.58042,                0.43097,                0.83898,                 1.6364,                0.88629,             5.5029e-05,             5.5029e-05,             5.5029e-05
                     99,                0.93467,                 2.2086,                 0.8829,                0.94938,                    0.5,                0.58042,                0.43097,                0.83898,                 1.6364,                0.88629,             4.1733e-05,             4.1733e-05,             4.1733e-05
                    100,                 0.9456,                 2.2753,                0.80125,                      1,                0.49491,                0.58042,                0.43095,                 0.8402,                 1.5005,                0.88681,             2.8153e-05,             2.8153e-05,             2.8153e-05
